category,name,link
시간,세계시간,https://www.worldtimebuddy.com/
시간,시간변환기,https://www.epochconverter.com/
계산,각종 계산기,http://www.na2.co.kr/
웹개발,misc tools,http://tool.heyo.me
이미지,움직이는GIF생성기,https://wepplication.github.io/tools/aniGifGen/
문자,특수문자표,https://wepplication.github.io/tools/charMap/
문자,아스키아트생성기,https://wepplication.github.io/tools/asciiArtGen/
기타,바코드생성기,https://wepplication.github.io/tools/barcodeGen/
웹개발,웹에디터,https://wepplication.github.io/tools/webEditor/
파일,smi->srt자막변환기,https://wepplication.github.io/tools/smi2Srt/
문자,글자수세기,https://wepplication.github.io/tools/charCounter/
입력,한영타변환,https://wepplication.github.io/tools/eng2Kor/
유틸리티,매직아이생성기,https://wepplication.github.io/tools/magicEyeGen/
문자,문자음성변환,https://wepplication.github.io/tools/tts/
유틸리티,EML뷰어,https://wepplication.github.io/tools/emlViewer/
유틸리티,짧은주소url원래주소변환,https://wepplication.github.io/tools/longUrl/
유틸리티,아이피조회,https://wepplication.github.io/tools/ipconfig/
유틸리티,로또번호생성기,https://wepplication.github.io/tools/lottoNumGen/
유틸리티,손전등,https://wepplication.github.io/tools/flashlight/
유틸리티,우편번호찾기,https://wepplication.github.io/tools/postcode/
유틸리티,바코드스캐너,https://wepplication.github.io/tools/barcodeScanner/
유틸리티,체크섬(MD5)조회,https://wepplication.github.io/tools/fileChecksum/
문자,음성문자변환,https://wepplication.github.io/tools/stt/
코드,html코드표,https://wepplication.github.io/tools/htmlCodes/
코드,아스키코드표,https://wepplication.github.io/tools/asciiCodes/
코드,색상표,https://wepplication.github.io/tools/colorPicker/
웹,이미지URL생성기,https://wepplication.github.io/tools/img2Url/
코드,코드비교,https://wepplication.github.io/tools/compareDoc/
코드,코드정렬,https://wepplication.github.io/tools/beautifyCode/
코드,코드압축,https://wepplication.github.io/tools/minifyCode/
웹,URL인코딩,https://wepplication.github.io/tools/urlDEncoder/
유틸리티,UUID생성기,https://wepplication.github.io/tools/uuidGen/
입력,키보드이벤트테스트,https://wepplication.github.io/tools/keyCode/
코드,HTML소스보기,https://wepplication.github.io/tools/htmlViewer/
보안,암호화도구,https://wepplication.github.io/tools/crypt/
